week,gameId,teamId,unit,unit_snaps,starters_played,starter_snap_share,qb1,qb1_snaps,season
2,2025020,1540,offense,58,0,0.0,Jared Goff,0.0,2025
2,2025020,2700,defense,58,5,12.7,,,2025
2,2025020,2700,offense,61,1,2.7,Tua Tagovailoa,0.0,2025
2,2025020,1540,defense,61,0,0.0,,,2025
2,2025021,0750,offense,41,9,16.9,Bryce Young,5.0,2025
2,2025021,2120,defense,41,10,24.2,,,2025
2,2025021,2120,offense,64,9,21.2,C.J. Stroud,13.0,2025
2,2025021,0750,defense,64,10,17.8,,,2025
2,2025022,1800,offense,69,1,3.2,Jordan Love,0.0,2025
2,2025022,2200,defense,69,6,9.6,,,2025
2,2025022,2200,offense,61,9,22.1,Daniel Jones,14.0,2025
2,2025022,1800,defense,61,1,1.2,,,2025
2,2025023,3200,offense,70,7,14.4,Drake Maye,15.0,2025
2,2025023,3000,defense,70,0,0.0,,,2025
2,2025023,3000,offense,57,0,0.0,J.J. McCarthy,0.0,2025
2,2025023,3200,defense,57,10,20.7,,,2025
2,2025024,1050,offense,59,2,4.8,Joe Flacco,0.0,2025
2,2025024,3700,defense,59,3,10.2,,,2025
2,2025024,3700,offense,42,0,0.0,Jalen Hurts,0.0,2025
2,2025024,1050,defense,42,4,6.9,,,2025
2,2025025,4500,offense,63,7,10.1,Brock Purdy,11.0,2025
2,2025025,2520,defense,63,11,25.1,,,2025
2,2025025,2520,offense,54,11,24.7,Geno Smith,15.0,2025
2,2025025,4500,defense,54,5,12.6,,,2025
2,2025026,0325,offense,77,4,11.5,Lamar Jackson,0.0,2025
2,2025026,1200,defense,77,4,9.1,,,2025
2,2025026,1200,offense,42,3,10.4,Dak Prescott,0.0,2025
2,2025026,0325,defense,42,2,3.5,,,2025
2,2025027,4400,offense,54,10,10.3,Justin Herbert,7.0,2025
2,2025027,2510,defense,54,0,0.0,,,2025
2,2025027,2510,offense,73,0,0.0,Matthew Stafford,0.0,2025
2,2025027,4400,defense,73,9,8.8,,,2025
2,2025028,3430,offense,69,11,25.4,Justin Fields,18.0,2025
2,2025028,3410,defense,69,9,21.6,,,2025
2,2025028,3410,offense,57,9,20.4,Russell Wilson,14.0,2025
2,2025028,3430,defense,57,6,10.2,,,2025
2,2025029,4900,offense,63,9,25.4,Baker Mayfield,0.0,2025
2,2025029,3900,defense,63,3,6.3,,,2025
2,2025029,3900,offense,52,6,9.6,Aaron Rodgers,0.0,2025
2,2025029,4900,defense,52,9,10.1,,,2025
2,2025030,3800,offense,45,1,3.0,Kyler Murray,0.0,2025
2,2025030,1400,defense,45,1,3.8,,,2025
2,2025030,1400,offense,71,3,7.4,Bo Nix,0.0,2025
2,2025030,3800,defense,71,1,1.5,,,2025
2,2025031,2250,offense,61,8,20.1,Trevor Lawrence,17.0,2025
2,2025031,3300,defense,61,1,2.5,,,2025
2,2025031,3300,offense,56,8,23.9,Spencer Rattler,38.0,2025
2,2025031,2250,defense,56,8,11.0,,,2025
2,2025032,0810,offense,81,9,12.1,Caleb Williams,13.0,2025
2,2025032,0610,defense,81,3,12.0,,,2025
2,2025032,0610,offense,41,1,1.8,Josh Allen,0.0,2025
2,2025032,0810,defense,41,10,13.1,,,2025
2,2025033,0920,offense,68,11,24.3,Joe Burrow,23.0,2025
2,2025033,5110,defense,68,10,16.0,,,2025
2,2025033,5110,offense,47,5,8.5,Jayden Daniels,4.0,2025
2,2025033,0920,defense,47,8,10.6,,,2025
3,2025034,3900,offense,44,7,17.8,Aaron Rodgers,0.0,2025
3,2025034,0750,defense,44,0,0.0,,,2025
3,2025034,0750,offense,59,1,1.5,Bryce Young,0.0,2025
3,2025034,3900,defense,59,8,10.8,,,2025
3,2025035,3410,offense,63,0,0.0,Russell Wilson,0.0,2025
3,2025035,3200,defense,63,3,9.2,,,2025
3,2025035,3200,offense,54,1,1.5,Drake Maye,0.0,2025
3,2025035,3410,defense,54,2,2.0,,,2025
3,2025036,3430,offense,57,2,3.2,Justin Fields,0.0,2025
3,2025036,3700,defense,57,0,0.0,,,2025
3,2025036,3700,offense,62,0,0.0,Jalen Hurts,0.0,2025
3,2025036,3430,defense,62,0,0.0,,,2025
3,2025037,3000,offense,57,0,0.0,J.J. McCarthy,0.0,2025
3,2025037,2100,defense,57,9,21.2,,,2025
3,2025037,2100,offense,53,6,15.6,Cam Ward,15.0,2025
3,2025037,3000,defense,53,0,0.0,,,2025
3,2025038,0200,offense,59,0,0.0,Michael Penix Jr.,0.0,2025
3,2025038,1200,defense,59,0,0.0,,,2025
3,2025038,1200,offense,53,0,0.0,Dak Prescott,0.0,2025
3,2025038,0200,defense,53,1,2.7,,,2025
3,2025039,2310,offense,52,10,30.2,Patrick Mahomes,20.0,2025
3,2025039,0810,defense,52,9,32.2,,,2025
3,2025039,0810,offense,73,10,28.9,Caleb Williams,26.0,2025
3,2025039,2310,defense,73,10,23.9,,,2025
3,2025040,0325,offense,62,0,0.0,Lamar Jackson,0.0,2025
3,2025040,5110,defense,62,1,3.4,,,2025
3,2025040,5110,offense,53,1,1.7,Jayden Daniels,0.0,2025
3,2025040,0325,defense,53,1,4.3,,,2025
3,2025041,2200,offense,71,1,1.8,Daniel Jones,0.0,2025
3,2025041,0920,defense,71,0,0.0,,,2025
3,2025041,0920,offense,49,0,0.0,Joe Burrow,0.0,2025
3,2025041,2200,defense,49,0,0.0,,,2025
3,2025042,2510,offense,51,0,0.0,Matthew Stafford,0.0,2025
3,2025042,1050,defense,51,8,14.8,,,2025
3,2025042,1050,offense,58,9,15.0,Joe Flacco,16.0,2025
3,2025042,2510,defense,58,0,0.0,,,2025
3,2025043,1540,offense,32,0,0.0,Jared Goff,0.0,2025
3,2025043,2120,defense,32,1,3.1,,,2025
3,2025043,2120,offense,69,2,2.1,C.J. Stroud,0.0,2025
3,2025043,1540,defense,69,0,0.0,,,2025
3,2025044,1400,offense,71,10,23.7,Bo Nix,19.0,2025
3,2025044,3300,defense,71,11,22.0,,,2025
3,2025044,3300,offense,54,10,20.2,Spencer Rattler,14.0,2025
3,2025044,1400,defense,54,10,14.3,,,2025
3,2025045,1800,offense,61,8,14.0,Jordan Love,0.0,2025
3,2025045,4600,defense,61,0,0.0,,,2025
3,2025045,4600,offense,48,0,0.0,Sam Darnold,0.0,2025
3,2025045,1800,defense,48,9,7.8,,,2025
3,2025046,2250,offense,49,0,0.0,Trevor Lawrence,0.0,2025
3,2025046,2700,defense,49,9,15.6,,,2025
3,2025046,2700,offense,49,6,13.0,Tua Tagovailoa,13.0,2025
3,2025046,2250,defense,49,1,1.1,,,2025
3,2025047,4900,offense,53,2,6.5,Baker Mayfield,0.0,2025
3,2025047,0610,defense,53,3,7.7,,,2025
3,2025047,0610,offense,61,0,0.0,Josh Allen,0.0,2025
3,2025047,4900,defense,61,0,0.0,,,2025
3,2025048,4400,offense,67,0,0.0,Justin Herbert,0.0,2025
3,2025048,4500,defense,67,4,9.9,,,2025
3,2025048,4500,offense,60,0,0.0,Brock Purdy,0.0,2025
3,2025048,4400,defense,60,0,0.0,,,2025
3,2025049,3800,offense,48,0,0.0,Kyler Murray,0.0,2025
3,2025049,2520,defense,48,9,8.9,,,2025
3,2025049,2520,offense,62,11,12.3,Geno Smith,9.0,2025
3,2025049,3800,defense,62,0,0.0,,,2025
